DATE,TYPE,CATEGORY,AMOUNT
2021-09-10,Inflow,Grant / Aid Received,163
2021-09-10,Inflow,Subscription Income,571
2021-09-10,Inflow,Service Fees,1276
2021-09-10,Inflow,Sales Revenue,2083
2021-09-10,Outflow,Software Subscriptions,2016
2021-09-11,Inflow,Rental Income,249
2021-09-11,Outflow,Professional Services,50
2021-09-11,Outflow,Office Supplies,50
2021-09-11,Inflow,Sales Revenue,1383
2021-09-12,Inflow,Subscription Income,391
2021-09-12,Inflow,Interest Income,100
2021-09-12,Inflow,Commission Income,100
2021-09-12,Outflow,Tax Payments,57
2021-09-12,Outflow,Travel & Transport,50
2021-09-12,Outflow,Maintenance & Repairs,50
2021-09-13,Outflow,Professional Services,120
2021-09-13,Outflow,Office Supplies,52
2021-09-13,Outflow,Equipment Purchase,120
2021-09-13,Outflow,Tax Payments,857
2021-09-13,Outflow,Marketing & Ads,266
2021-09-13,Inflow,Asset Sales,100
2021-09-13,Inflow,Tax Refunds,100
2021-09-13,Inflow,Subscription Income,694
2021-09-13,Inflow,Sales Revenue,2656
2021-09-13,Inflow,Commission Income,134
2021-09-14,Outflow,Maintenance & Repairs,132
2021-09-14,Outflow,Travel & Transport,137
2021-09-14,Outflow,Marketing & Ads,349
2021-09-14,Outflow,Vendor Payments,766
2021-09-14,Inflow,Consulting Fees,630
2021-09-14,Inflow,Asset Sales,100
2021-09-14,Inflow,Grant / Aid Received,153
2021-09-14,Inflow,Subscription Income,755
2021-09-14,Inflow,Service Fees,1265
2021-09-14,Inflow,Tax Refunds,100
2021-09-15,Outflow,Maintenance & Repairs,114
2021-09-15,Outflow,Office Supplies,62
2021-09-15,Outflow,Equipment Purchase,173
2021-09-15,Outflow,Tax Payments,669
2021-09-15,Outflow,Loan Repayments,5537
2021-09-15,Outflow,Vendor Payments,515
2021-09-15,Outflow,Marketing & Ads,408
2021-09-15,Inflow,Interest Income,145
2021-09-15,Inflow,Tax Refunds,100
2021-09-15,Inflow,Subscription Income,891
2021-09-15,Inflow,Service Fees,1233
2021-09-15,Inflow,Sales Revenue,3629
2021-09-15,Inflow,Commission Income,254
2021-09-16,Outflow,Professional Services,268
2021-09-16,Outflow,Travel & Transport,147
2021-09-16,Outflow,Office Supplies,50
2021-09-16,Outflow,Equipment Purchase,134
2021-09-16,Outflow,Marketing & Ads,353
2021-09-16,Outflow,Vendor Payments,796
2021-09-16,Inflow,Commission Income,201
2021-09-16,Inflow,Interest Income,114
2021-09-16,Inflow,Grant / Aid Received,149
2021-09-16,Inflow,Subscription Income,865
2021-09-16,Inflow,Sales Revenue,3002
2021-09-16,Inflow,Consulting Fees,609
2021-09-17,Outflow,Maintenance & Repairs,80
2021-09-17,Outflow,Professional Services,140
2021-09-17,Outflow,Equipment Purchase,194
2021-09-17,Outflow,Tax Payments,580
2021-09-17,Outflow,Marketing & Ads,284
2021-09-17,Outflow,Vendor Payments,989
2021-09-17,Inflow,Asset Sales,100
2021-09-17,Inflow,Interest Income,121
2021-09-17,Inflow,Tax Refunds,100
2021-09-17,Inflow,Grant / Aid Received,187
2021-09-17,Inflow,Service Fees,1013
2021-09-17,Inflow,Consulting Fees,464
2021-09-18,Outflow,Travel & Transport,69
2021-09-18,Outflow,Maintenance & Repairs,50
2021-09-18,Outflow,Office Supplies,50
2021-09-18,Inflow,Rental Income,334
2021-09-18,Inflow,Consulting Fees,152
2021-09-18,Inflow,Commission Income,100
2021-09-18,Inflow,Interest Income,100
2021-09-18,Inflow,Subscription Income,579
2021-09-20,Outflow,Travel & Transport,72
2021-09-20,Outflow,Office Supplies,59
2021-09-20,Outflow,Equipment Purchase,135
2021-09-20,Outflow,Vendor Payments,619
2021-09-20,Inflow,Consulting Fees,511
2021-09-20,Inflow,Interest Income,100
2021-09-20,Inflow,Grant / Aid Received,179
2021-09-20,Inflow,Subscription Income,793
2021-09-20,Inflow,Service Fees,887
2021-09-20,Inflow,Asset Sales,100
2021-09-21,Inflow,Commission Income,221
2021-09-21,Outflow,Professional Services,234
2021-09-21,Outflow,Office Supplies,53
2021-09-21,Outflow,Equipment Purchase,173
2021-09-21,Inflow,Consulting Fees,626
2021-09-21,Inflow,Asset Sales,100
2021-09-21,Outflow,Vendor Payments,761
2021-09-21,Inflow,Tax Refunds,100
2021-09-21,Inflow,Grant / Aid Received,127
2021-09-21,Inflow,Subscription Income,580
2021-09-21,Inflow,Service Fees,1376
2021-09-21,Inflow,Sales Revenue,4064
2021-09-21,Inflow,Interest Income,133
2021-09-22,Outflow,Maintenance & Repairs,135
2021-09-22,Outflow,Travel & Transport,159
2021-09-22,Outflow,Office Supplies,51
2021-09-22,Outflow,Equipment Purchase,177
2021-09-22,Outflow,Marketing & Ads,303
2021-09-22,Outflow,Vendor Payments,579
2021-09-22,Inflow,Consulting Fees,586
2021-09-22,Inflow,Asset Sales,100
2021-09-22,Inflow,Interest Income,121
2021-09-22,Inflow,Grant / Aid Received,154
2021-09-22,Inflow,Subscription Income,752
2021-09-22,Inflow,Service Fees,1140
2021-09-22,Inflow,Sales Revenue,2991
2021-09-22,Inflow,Commission Income,222
2021-09-23,Outflow,Vendor Payments,609
2021-09-23,Outflow,Maintenance & Repairs,108
2021-09-23,Outflow,Professional Services,237
2021-09-23,Outflow,Office Supplies,73
2021-09-23,Outflow,Tax Payments,698
2021-09-23,Outflow,Marketing & Ads,243
2021-09-23,Inflow,Consulting Fees,514
2021-09-23,Inflow,Grant / Aid Received,148
2021-09-23,Inflow,Asset Sales,103
2021-09-23,Inflow,Sales Revenue,2679
2021-09-23,Inflow,Service Fees,1442
2021-09-23,Inflow,Commission Income,247
2021-09-23,Inflow,Tax Refunds,100
2021-09-23,Inflow,Interest Income,112
2021-09-24,Inflow,Sales Revenue,2970
2021-09-24,Inflow,Service Fees,1075
2021-09-24,Inflow,Subscription Income,851
2021-09-24,Inflow,Asset Sales,100
2021-09-24,Inflow,Commission Income,213
2021-09-24,Inflow,Consulting Fees,615
2021-09-24,Outflow,Tax Payments,619
2021-09-24,Outflow,Equipment Purchase,196
2021-09-24,Outflow,Professional Services,241
2021-09-24,Inflow,Interest Income,112
2021-09-25,Inflow,Rental Income,211
2021-09-25,Outflow,Office Supplies,50
2021-09-25,Outflow,Professional Services,61
2021-09-25,Inflow,Asset Sales,100
2021-09-25,Inflow,Subscription Income,570
2021-09-25,Inflow,Sales Revenue,1386
2021-09-25,Inflow,Commission Income,100
2021-09-26,Inflow,Sales Revenue,918
2021-09-26,Inflow,Subscription Income,416
2021-09-26,Inflow,Interest Income,100
2021-09-26,Outflow,Travel & Transport,50
2021-09-27,Outflow,Professional Services,164
2021-09-27,Outflow,Office Supplies,52
2021-09-27,Outflow,Equipment Purchase,100
2021-09-27,Inflow,Tax Refunds,100
2021-09-27,Inflow,Commission Income,100
2021-09-27,Inflow,Grant / Aid Received,167
2021-09-27,Outflow,Marketing & Ads,284
2021-09-28,Outflow,Vendor Payments,919
2021-09-28,Outflow,Professional Services,224
2021-09-28,Outflow,Travel & Transport,106
2021-09-28,Outflow,Staff Salaries,30095
2021-09-28,Inflow,Commission Income,262
2021-09-28,Inflow,Sales Revenue,4079
2021-09-28,Inflow,Interest Income,124
2021-09-28,Inflow,Service Fees,1270
2021-09-28,Inflow,Consulting Fees,618
2021-09-29,Outflow,Professional Services,226
2021-09-29,Outflow,Office Supplies,81
2021-09-29,Outflow,Equipment Purchase,147
2021-09-29,Outflow,Tax Payments,559
2021-09-29,Outflow,Marketing & Ads,341
2021-09-29,Outflow,Vendor Payments,816
2021-09-29,Outflow,Travel & Transport,131
2021-09-29,Inflow,Asset Sales,100
2021-09-29,Inflow,Tax Refunds,100
2021-09-29,Inflow,Grant / Aid Received,189
2021-09-29,Inflow,Subscription Income,747
2021-09-29,Inflow,Service Fees,1235
2021-09-29,Inflow,Sales Revenue,2530
2021-09-29,Inflow,Consulting Fees,658
2021-09-30,Outflow,Travel & Transport,83
2021-09-30,Outflow,Office Supplies,78
2021-09-30,Outflow,Equipment Purchase,170
2021-09-30,Outflow,Marketing & Ads,252
2021-09-30,Outflow,Vendor Payments,884
2021-09-30,Inflow,Asset Sales,122
2021-09-30,Inflow,Tax Refunds,100
2021-09-30,Inflow,Grant / Aid Received,172
2021-09-30,Inflow,Subscription Income,597
2021-09-30,Inflow,Sales Revenue,3237
2021-09-30,Inflow,Consulting Fees,496
2021-10-01,Outflow,Rent & Utilities,8890
2021-10-01,Outflow,Travel & Transport,96
2021-10-01,Outflow,Office Supplies,66
2021-10-01,Outflow,Equipment Purchase,253
2021-10-01,Inflow,Commission Income,274
2021-10-01,Outflow,Professional Services,254
2021-10-01,Inflow,Interest Income,128
2021-10-01,Inflow,Subscription Income,650
2021-10-01,Inflow,Service Fees,1206
2021-10-01,Inflow,Sales Revenue,3800
2021-10-01,Inflow,Asset Sales,159
2021-10-02,Outflow,Professional Services,56
2021-10-02,Outflow,Vendor Payments,263
2021-10-02,Outflow,Travel & Transport,55
2021-10-02,Inflow,Sales Revenue,1706
2021-10-02,Inflow,Subscription Income,615
2021-10-03,Inflow,Grant / Aid Received,100
2021-10-03,Outflow,Equipment Purchase,50
2021-10-04,Outflow,Tax Payments,50
2021-10-04,Outflow,Travel & Transport,83
2021-10-04,Outflow,Office Supplies,64
2021-10-04,Outflow,Equipment Purchase,281
2021-10-04,Outflow,Vendor Payments,566
2021-10-04,Outflow,Professional Services,210
2021-10-04,Inflow,Interest Income,103
2021-10-04,Inflow,Tax Refunds,100
2021-10-04,Inflow,Grant / Aid Received,652
2021-10-04,Inflow,Service Fees,872
2021-10-04,Inflow,Consulting Fees,459
2021-10-05,Outflow,Office Supplies,63
2021-10-05,Outflow,Insurance Premiums,2691
2021-10-05,Outflow,Equipment Purchase,192
2021-10-05,Outflow,Vendor Payments,764
2021-10-05,Outflow,Maintenance & Repairs,138
2021-10-05,Inflow,Tax Refunds,100
2021-10-05,Inflow,Subscription Income,593
2021-10-05,Inflow,Service Fees,1120
2021-10-05,Inflow,Commission Income,308
2021-10-06,Outflow,Professional Services,197
2021-10-06,Outflow,Travel & Transport,93
2021-10-06,Outflow,Office Supplies,73
2021-10-06,Outflow,Vendor Payments,760
2021-10-06,Inflow,Consulting Fees,577
2021-10-06,Inflow,Tax Refunds,100
2021-10-06,Inflow,Grant / Aid Received,547
2021-10-06,Inflow,Subscription Income,801
2021-10-06,Inflow,Service Fees,1154
2021-10-06,Inflow,Sales Revenue,3729
2021-10-06,Outflow,Maintenance & Repairs,145
2021-10-06,Inflow,Interest Income,133
2021-10-07,Outflow,Office Supplies,71
2021-10-07,Inflow,Grant / Aid Received,648
2021-10-07,Outflow,Maintenance & Repairs,133
2021-10-07,Outflow,Equipment Purchase,253
2021-10-07,Outflow,Professional Services,200
2021-10-07,Outflow,Tax Payments,50
2021-10-07,Inflow,Service Fees,1724
2021-10-07,Inflow,Asset Sales,138
2021-10-07,Inflow,Interest Income,102
2021-10-07,Inflow,Tax Refunds,100
2021-10-07,Inflow,Subscription Income,792
2021-10-07,Inflow,Consulting Fees,636
2021-10-08,Outflow,Maintenance & Repairs,145
2021-10-08,Outflow,Travel & Transport,130
2021-10-08,Outflow,Office Supplies,52
2021-10-08,Outflow,Equipment Purchase,237
2021-10-08,Outflow,Tax Payments,50
2021-10-08,Outflow,Marketing & Ads,518
2021-10-08,Inflow,Consulting Fees,533
2021-10-08,Inflow,Asset Sales,175
2021-10-08,Inflow,Interest Income,121
2021-10-08,Inflow,Tax Refunds,100
2021-10-08,Inflow,Grant / Aid Received,731
2021-10-08,Inflow,Subscription Income,691
2021-10-08,Inflow,Service Fees,1075
2021-10-08,Inflow,Commission Income,222
2021-10-09,Outflow,Maintenance & Repairs,59
2021-10-09,Outflow,Travel & Transport,50
2021-10-09,Outflow,Marketing & Ads,151
2021-10-09,Inflow,Rental Income,237
2021-10-09,Inflow,Asset Sales,100
2021-10-09,Outflow,Vendor Payments,289
2021-10-10,Inflow,Subscription Income,495
2021-10-10,Inflow,Grant / Aid Received,114
2021-10-10,Inflow,Interest Income,100
2021-10-10,Outflow,Marketing & Ads,70
2021-10-10,Outflow,Software Subscriptions,1903
2021-10-11,Inflow,Asset Sales,155
2021-10-11,Outflow,Professional Services,134
2021-10-11,Outflow,Travel & Transport,82
2021-10-11,Outflow,Office Supplies,54
2021-10-11,Outflow,Equipment Purchase,162
2021-10-11,Inflow,Grant / Aid Received,580
2021-10-11,Inflow,Commission Income,212
2021-10-11,Inflow,Tax Refunds,100
2021-10-11,Inflow,Subscription Income,678
2021-10-11,Outflow,Tax Payments,50
2021-10-12,Outflow,Vendor Payments,947
2021-10-12,Outflow,Marketing & Ads,417
2021-10-12,Inflow,Consulting Fees,715
2021-10-12,Outflow,Travel & Transport,99
2021-10-12,Outflow,Equipment Purchase,306
2021-10-12,Inflow,Commission Income,229
2021-10-12,Inflow,Sales Revenue,3937
2021-10-12,Inflow,Tax Refunds,100
2021-10-12,Inflow,Grant / Aid Received,733
2021-10-12,Inflow,Subscription Income,842
2021-10-12,Inflow,Service Fees,1777
2021-10-12,Inflow,Asset Sales,156
2021-10-13,Outflow,Professional Services,233
2021-10-13,Outflow,Travel & Transport,124
2021-10-13,Outflow,Office Supplies,63
2021-10-13,Outflow,Equipment Purchase,210
2021-10-13,Outflow,Marketing & Ads,359
2021-10-13,Outflow,Vendor Payments,854
2021-10-13,Outflow,Maintenance & Repairs,115
2021-10-13,Inflow,Commission Income,190
2021-10-13,Inflow,Interest Income,125
2021-10-13,Inflow,Subscription Income,614
2021-10-13,Inflow,Service Fees,1337
2021-10-13,Inflow,Sales Revenue,3493
2021-10-13,Inflow,Consulting Fees,739
2021-10-14,Outflow,Professional Services,139
2021-10-14,Outflow,Travel & Transport,85
2021-10-14,Outflow,Tax Payments,52
2021-10-14,Inflow,Consulting Fees,651
2021-10-14,Outflow,Vendor Payments,895
2021-10-14,Inflow,Grant / Aid Received,539
2021-10-14,Inflow,Service Fees,1448
2021-10-14,Inflow,Sales Revenue,3138
2021-10-14,Inflow,Interest Income,122
2021-10-15,Outflow,Maintenance & Repairs,141
2021-10-15,Outflow,Professional Services,238
2021-10-15,Outflow,Travel & Transport,125
2021-10-15,Outflow,Office Supplies,55
2021-10-15,Outflow,Equipment Purchase,208
2021-10-15,Outflow,Tax Payments,50
2021-10-15,Outflow,Loan Repayments,5739
2021-10-15,Outflow,Marketing & Ads,489
2021-10-15,Inflow,Commission Income,181
2021-10-15,Inflow,Consulting Fees,580
2021-10-15,Inflow,Asset Sales,100
2021-10-15,Inflow,Interest Income,117
2021-10-15,Inflow,Tax Refunds,100
2021-10-15,Inflow,Grant / Aid Received,789
2021-10-15,Inflow,Subscription Income,922
2021-10-15,Inflow,Sales Revenue,3587
2021-10-15,Outflow,Vendor Payments,891
2021-10-16,Outflow,Travel & Transport,65
2021-10-16,Outflow,Maintenance & Repairs,50
2021-10-16,Inflow,Service Fees,405
2021-10-16,Inflow,Consulting Fees,191
2021-10-17,Inflow,Sales Revenue,865
2021-10-17,Inflow,Subscription Income,481
2021-10-17,Inflow,Tax Refunds,100
2021-10-17,Inflow,Commission Income,100
2021-10-17,Outflow,Vendor Payments,168
2021-10-17,Outflow,Marketing & Ads,66
2021-10-18,Outflow,Marketing & Ads,412
2021-10-18,Outflow,Professional Services,225
2021-10-18,Outflow,Maintenance & Repairs,80
2021-10-18,Outflow,Equipment Purchase,183
2021-10-18,Outflow,Vendor Payments,683
2021-10-18,Inflow,Subscription Income,733
2021-10-18,Inflow,Interest Income,134
2021-10-18,Inflow,Tax Refunds,100
2021-10-18,Inflow,Grant / Aid Received,539
2021-10-18,Inflow,Sales Revenue,2936
2021-10-18,Inflow,Asset Sales,153
2021-10-19,Inflow,Sales Revenue,3048
2021-10-19,Inflow,Service Fees,970
2021-10-19,Inflow,Asset Sales,127
2021-10-19,Inflow,Commission Income,237
2021-10-19,Outflow,Vendor Payments,927
2021-10-19,Outflow,Office Supplies,69
2021-10-19,Outflow,Professional Services,166
2021-10-20,Outflow,Maintenance & Repairs,96
2021-10-20,Outflow,Travel & Transport,123
2021-10-20,Outflow,Office Supplies,68
2021-10-20,Outflow,Tax Payments,57
2021-10-20,Inflow,Commission Income,188
2021-10-20,Inflow,Consulting Fees,545
2021-10-20,Inflow,Service Fees,1244
2021-10-20,Inflow,Sales Revenue,3382
2021-10-20,Outflow,Vendor Payments,729
2021-10-21,Outflow,Maintenance & Repairs,114
2021-10-21,Outflow,Travel & Transport,134
2021-10-21,Outflow,Marketing & Ads,404
2021-10-21,Outflow,Vendor Payments,756
2021-10-21,Inflow,Commission Income,230
2021-10-21,Inflow,Consulting Fees,610
2021-10-21,Inflow,Tax Refunds,100
2021-10-21,Inflow,Grant / Aid Received,541
2021-10-21,Inflow,Subscription Income,508
2021-10-21,Inflow,Service Fees,1575
2021-10-21,Inflow,Sales Revenue,4237
2021-10-21,Inflow,Asset Sales,149
2021-10-22,Outflow,Marketing & Ads,399
2021-10-22,Outflow,Professional Services,280
2021-10-22,Outflow,Travel & Transport,105
2021-10-22,Outflow,Maintenance & Repairs,169
2021-10-22,Outflow,Office Supplies,71
2021-10-22,Outflow,Equipment Purchase,200
2021-10-22,Outflow,Vendor Payments,1061
2021-10-22,Inflow,Subscription Income,634
2021-10-22,Inflow,Asset Sales,109
2021-10-22,Inflow,Interest Income,136
2021-10-22,Inflow,Tax Refunds,100
2021-10-22,Inflow,Grant / Aid Received,679
2021-10-22,Inflow,Service Fees,1163
2021-10-22,Inflow,Sales Revenue,4509
2021-10-22,Inflow,Consulting Fees,594
2021-10-23,Inflow,Service Fees,523
2021-10-23,Inflow,Rental Income,291
2021-10-23,Outflow,Equipment Purchase,68
2021-10-23,Outflow,Travel & Transport,68
2021-10-24,Outflow,Travel & Transport,50
2021-10-25,Outflow,Equipment Purchase,183
2021-10-25,Outflow,Tax Payments,50
2021-10-25,Outflow,Office Supplies,50
2021-10-25,Outflow,Professional Services,158
2021-10-25,Outflow,Vendor Payments,721
2021-10-25,Inflow,Subscription Income,698
2021-10-25,Inflow,Tax Refunds,100
2021-10-25,Inflow,Grant / Aid Received,450
2021-10-25,Inflow,Sales Revenue,3049
2021-10-25,Inflow,Asset Sales,153
2021-10-26,Outflow,Professional Services,229
2021-10-26,Outflow,Travel & Transport,114
2021-10-26,Outflow,Equipment Purchase,268
2021-10-26,Outflow,Tax Payments,50
2021-10-26,Outflow,Marketing & Ads,337
2021-10-26,Outflow,Vendor Payments,866
2021-10-26,Outflow,Maintenance & Repairs,142
2021-10-26,Inflow,Interest Income,117
2021-10-26,Inflow,Tax Refunds,100
2021-10-26,Inflow,Grant / Aid Received,785
2021-10-26,Inflow,Subscription Income,793
2021-10-26,Inflow,Service Fees,1256
2021-10-26,Inflow,Sales Revenue,3430
2021-10-26,Inflow,Asset Sales,131
2021-10-27,Outflow,Maintenance & Repairs,98
2021-10-27,Outflow,Professional Services,230
2021-10-27,Outflow,Equipment Purchase,173
2021-10-27,Outflow,Tax Payments,50
2021-10-27,Inflow,Consulting Fees,680
2021-10-27,Inflow,Asset Sales,114
2021-10-27,Inflow,Tax Refunds,100
2021-10-27,Inflow,Subscription Income,795
2021-10-27,Inflow,Service Fees,967
2021-10-27,Inflow,Interest Income,101
2021-10-28,Outflow,Staff Salaries,31132
2021-10-28,Outflow,Maintenance & Repairs,154
2021-10-28,Outflow,Travel & Transport,130
2021-10-28,Outflow,Office Supplies,53
2021-10-28,Outflow,Equipment Purchase,228
2021-10-28,Outflow,Marketing & Ads,371
2021-10-28,Inflow,Consulting Fees,680
2021-10-28,Outflow,Professional Services,229
2021-10-28,Inflow,Asset Sales,135
2021-10-28,Inflow,Tax Refunds,100
2021-10-28,Inflow,Grant / Aid Received,767
2021-10-28,Inflow,Subscription Income,822
2021-10-28,Inflow,Service Fees,1365
2021-10-28,Inflow,Sales Revenue,3669
2021-10-28,Inflow,Commission Income,246
2021-10-29,Outflow,Maintenance & Repairs,109
2021-10-29,Outflow,Professional Services,218
2021-10-29,Outflow,Travel & Transport,133
2021-10-29,Outflow,Marketing & Ads,508
2021-10-29,Outflow,Vendor Payments,970
2021-10-29,Inflow,Consulting Fees,514
2021-10-29,Inflow,Commission Income,357
2021-10-29,Inflow,Grant / Aid Received,638
2021-10-29,Inflow,Subscription Income,609
2021-10-29,Inflow,Service Fees,1188
2021-10-29,Inflow,Sales Revenue,3738
2021-10-29,Inflow,Tax Refunds,100
2021-10-30,Inflow,Subscription Income,460
2021-10-30,Inflow,Commission Income,104
2021-10-30,Inflow,Rental Income,297
2021-10-30,Outflow,Equipment Purchase,62
2021-10-31,Outflow,Travel & Transport,50
2021-10-31,Outflow,Marketing & Ads,71
2021-10-31,Inflow,Interest Income,100
2021-10-31,Inflow,Asset Sales,100
2021-10-31,Outflow,Vendor Payments,127
2021-11-01,Outflow,Professional Services,186
2021-11-01,Outflow,Office Supplies,53
2021-11-01,Outflow,Equipment Purchase,297
2021-11-01,Outflow,Tax Payments,50
2021-11-01,Outflow,Rent & Utilities,9354
2021-11-01,Inflow,Consulting Fees,358
2021-11-01,Outflow,Marketing & Ads,342
2021-11-01,Inflow,Interest Income,147
2021-11-01,Inflow,Tax Refunds,100
2021-11-01,Inflow,Grant / Aid Received,142
2021-11-01,Inflow,Subscription Income,759
2021-11-01,Inflow,Sales Revenue,3507
2021-11-01,Inflow,Asset Sales,187
2021-11-02,Outflow,Marketing & Ads,428
2021-11-02,Outflow,Maintenance & Repairs,78
2021-11-02,Outflow,Professional Services,260
2021-11-02,Outflow,Travel & Transport,80
2021-11-02,Outflow,Office Supplies,96
2021-11-02,Outflow,Equipment Purchase,263
2021-11-02,Outflow,Vendor Payments,996
2021-11-02,Inflow,Service Fees,1180
2021-11-02,Inflow,Commission Income,285
2021-11-02,Inflow,Interest Income,116
2021-11-02,Inflow,Tax Refunds,100
2021-11-02,Inflow,Grant / Aid Received,136
2021-11-02,Inflow,Subscription Income,929
2021-11-02,Inflow,Consulting Fees,681
2021-11-02,Inflow,Sales Revenue,4660
2021-11-03,Outflow,Travel & Transport,71
2021-11-03,Outflow,Equipment Purchase,314
2021-11-03,Outflow,Vendor Payments,782
2021-11-03,Inflow,Consulting Fees,540
2021-11-03,Inflow,Asset Sales,190
2021-11-03,Outflow,Professional Services,211
2021-11-03,Inflow,Tax Refunds,100
2021-11-03,Inflow,Grant / Aid Received,100
2021-11-03,Inflow,Subscription Income,777
2021-11-03,Inflow,Service Fees,1293
2021-11-03,Inflow,Sales Revenue,3730
2021-11-03,Inflow,Interest Income,100
2021-11-04,Outflow,Maintenance & Repairs,87
2021-11-04,Outflow,Professional Services,277
2021-11-04,Outflow,Office Supplies,69
2021-11-04,Outflow,Equipment Purchase,281
2021-11-04,Outflow,Marketing & Ads,562
2021-11-04,Outflow,Tax Payments,50
2021-11-04,Inflow,Commission Income,225
2021-11-04,Inflow,Tax Refunds,100
2021-11-04,Inflow,Grant / Aid Received,110
2021-11-04,Inflow,Service Fees,1082
2021-11-04,Inflow,Consulting Fees,622
2021-11-05,Outflow,Marketing & Ads,440
2021-11-05,Outflow,Professional Services,243
2021-11-05,Outflow,Travel & Transport,93
2021-11-05,Outflow,Office Supplies,50
2021-11-05,Outflow,Insurance Premiums,2917
2021-11-05,Outflow,Tax Payments,50
2021-11-05,Outflow,Maintenance & Repairs,108
2021-11-05,Outflow,Vendor Payments,809
2021-11-05,Inflow,Interest Income,113
2021-11-05,Inflow,Commission Income,308
2021-11-05,Inflow,Asset Sales,143
2021-11-05,Inflow,Tax Refunds,100
2021-11-05,Inflow,Grant / Aid Received,152
2021-11-05,Inflow,Subscription Income,683
2021-11-05,Inflow,Service Fees,975
2021-11-05,Inflow,Sales Revenue,4151
2021-11-05,Inflow,Consulting Fees,740
2021-11-06,Outflow,Maintenance & Repairs,50
2021-11-06,Inflow,Interest Income,100
2021-11-06,Inflow,Service Fees,515
2021-11-06,Inflow,Sales Revenue,1112
2021-11-06,Inflow,Grant / Aid Received,100
2021-11-07,Inflow,Subscription Income,402
2021-11-07,Outflow,Office Supplies,50
2021-11-08,Outflow,Equipment Purchase,343
2021-11-08,Outflow,Travel & Transport,50
2021-11-08,Outflow,Maintenance & Repairs,83
2021-11-08,Outflow,Office Supplies,65
2021-11-08,Outflow,Marketing & Ads,445
2021-11-08,Inflow,Subscription Income,796
2021-11-08,Inflow,Commission Income,197
2021-11-08,Inflow,Asset Sales,164
2021-11-08,Inflow,Interest Income,127
2021-11-08,Inflow,Service Fees,1089
2021-11-08,Inflow,Consulting Fees,517
2021-11-09,Outflow,Marketing & Ads,420
2021-11-09,Outflow,Professional Services,255
2021-11-09,Outflow,Travel & Transport,83
2021-11-09,Outflow,Office Supplies,66
2021-11-09,Outflow,Equipment Purchase,394
2021-11-09,Outflow,Tax Payments,50
2021-11-09,Inflow,Consulting Fees,842
2021-11-09,Outflow,Maintenance & Repairs,115
2021-11-09,Inflow,Interest Income,101
2021-11-09,Inflow,Tax Refunds,100
2021-11-09,Inflow,Grant / Aid Received,217
2021-11-09,Inflow,Subscription Income,657
2021-11-09,Inflow,Service Fees,1440
2021-11-09,Inflow,Sales Revenue,4323
2021-11-09,Inflow,Asset Sales,188
2021-11-10,Outflow,Software Subscriptions,1981
2021-11-10,Outflow,Travel & Transport,64
2021-11-10,Outflow,Equipment Purchase,420
2021-11-10,Outflow,Tax Payments,55
2021-11-10,Outflow,Marketing & Ads,495
2021-11-10,Outflow,Vendor Payments,933
2021-11-10,Outflow,Professional Services,202
2021-11-10,Inflow,Commission Income,288
2021-11-10,Inflow,Interest Income,126
2021-11-10,Inflow,Tax Refunds,100
2021-11-10,Inflow,Grant / Aid Received,181
2021-11-10,Inflow,Service Fees,1521
2021-11-10,Inflow,Consulting Fees,686
2021-11-11,Outflow,Maintenance & Repairs,135
2021-11-11,Outflow,Professional Services,249
2021-11-11,Outflow,Travel & Transport,55
2021-11-11,Outflow,Office Supplies,64
2021-11-11,Outflow,Equipment Purchase,408
2021-11-11,Outflow,Marketing & Ads,541
2021-11-11,Outflow,Vendor Payments,1121
2021-11-11,Inflow,Commission Income,317
2021-11-11,Inflow,Asset Sales,155
2021-11-11,Inflow,Interest Income,100
2021-11-11,Inflow,Tax Refunds,100
2021-11-11,Inflow,Subscription Income,799
2021-11-11,Inflow,Service Fees,1397
2021-11-11,Inflow,Sales Revenue,3712
2021-11-11,Inflow,Consulting Fees,376
2021-11-12,Outflow,Vendor Payments,791
2021-11-12,Outflow,Equipment Purchase,264
2021-11-12,Outflow,Tax Payments,50
2021-11-12,Inflow,Consulting Fees,730
2021-11-12,Outflow,Office Supplies,50
2021-11-12,Inflow,Tax Refunds,100
2021-11-12,Inflow,Grant / Aid Received,153
2021-11-12,Inflow,Subscription Income,654
2021-11-12,Inflow,Sales Revenue,4836
2021-11-12,Inflow,Commission Income,267
2021-11-13,Inflow,Rental Income,272
2021-11-13,Inflow,Commission Income,100
2021-11-13,Inflow,Consulting Fees,135
2021-11-13,Inflow,Sales Revenue,1808
2021-11-13,Inflow,Subscription Income,682
2021-11-14,Inflow,Interest Income,100
2021-11-15,Outflow,Marketing & Ads,463
2021-11-15,Outflow,Travel & Transport,61
2021-11-15,Outflow,Office Supplies,64
2021-11-15,Outflow,Equipment Purchase,243
2021-11-15,Outflow,Loan Repayments,5502
2021-11-15,Outflow,Vendor Payments,748
2021-11-15,Inflow,Subscription Income,782
2021-11-15,Inflow,Interest Income,112
2021-11-15,Inflow,Tax Refunds,100
2021-11-15,Inflow,Service Fees,890
2021-11-15,Inflow,Sales Revenue,2877
2021-11-15,Inflow,Asset Sales,145
2021-11-16,Outflow,Tax Payments,50
2021-11-16,Outflow,Travel & Transport,87
2021-11-16,Outflow,Professional Services,233
